OH_NUM,NOM,V_USAGE,NOM_USAGE,PORTEE,DATE_DEB,FIAB_APP,DATE_FIN,FIAB_DISP,REFERENCE,REMARQUES,geom_wkt,V_URB,deb_zone_ID,deb_zone_nom,deb_zone_urb,deb_zone_densite,deb_zone_urb2
2325,"habitation, Julien-Leroy (rue) 2",37,habitat,1,1790,2,2015,,Marot 2013,batiment et parcelle / construction 1100-4,POINT(525144.9662 6701687.0221),3,EU_19,chateauneuf_S,T,3,A
2326,"habitation, Rapin (rue) 12",37,habitat,1,1790,2,2015,,Marot 2013,batiment seul (parcelle incertaine) / construction 1300-3,POINT(525133.3102 6701670.29),3,EU_19,chateauneuf_S,T,3,A
2327,"habitation, Rapin (rue) 1bis",37,habitat,1,1790,2,2015,,Marot 2013,batiment et parcelle / construction 1400-4,POINT(525192.9721 6701685.817),3,EU_19,chateauneuf_S,T,3,A
2328,"habitation, Baleschoux (rue) 14 / Nericault-Destouches (rue) 39",37,habitat,1,1790,2,1940,1,Marot 2013,batiment seul (parcelle incertaine) / construction 900-2 1000-2 et 1100-3,POINT(525326.1006 6701670.8461),3,EU_19,chateauneuf_S,T,3,A
2329,"habitation, Briconnet (rue) 20",37,habitat,1,1500,4,2015,,"Garrigou Grandchamp 2006, Marot 2013",batiment seul (parcelle incertaine) / construction 1200-4,POINT(525146.0392 6702004.211),3,EU_26,tours_E1_N,T,2,A
2330,"Tour,  Grand-Marche (place du) 8 (enceinte du 10e s.)",21,système défensif urbain,2,900,2,1200,3,"Garrigou Grandchamp 2006, Marot 2013",,POINT(525083.8378 6701860.5345),2,EU_11,suburbium_sm,T,2,A
2331,"courtine, Arbalete (rue de l') 13 / Grand-Marche (place du) 10 (enceinte du 10e s.)",21,système défensif urbain,2,900,2,1100,3,"Garrigou Grandchamp 2006, Marot 2013",,POINT(525088.1235 6701856.8597),2,EU_11,suburbium_sm,T,2,A
2332,"porte, Arbalete (rue de l') (enceinte du 10e s.)",21,système défensif urbain,2,900,2,1100,3,Marot 2013,,POINT(525088.6207 6701844.0849),2,EU_11,suburbium_sm,T,2,A
2333,"courtine, Grand-Marche (place du)  (enceinte du 10e s.)",21,système défensif urbain,2,900,2,1100,3,Marot 2013,,POINT(525090.801 6701829.1447),2,EU_11,suburbium_sm,T,2,A
2334,"courtine, Grand-Marche (place du) 24 (enceinte du 10e s.)",21,système défensif urbain,2,900,2,1100,3,Marot 2013,,POINT(525093.4281 6701811.9126),2,EU_11,suburbium_sm,T,2,A
2335,"courtine, Grand-Marche (place du)  (enceinte du 10e s.)",21,système défensif urbain,2,900,2,1100,3,Marot 2013,,POINT(525095.9455 6701790.3173),2,EU_11,suburbium_sm,T,2,A
2336,"porte, Longue-Echelle (rue de la) (enceinte du 10e s.)",21,système défensif urbain,2,900,2,1100,3,Marot 2013,,POINT(525098.5481 6701769.4351),2,EU_11,suburbium_sm,T,2,A
