"","OH_NUM","DATE_DEB","DATE_FIN","V_USAGE","V_URB","PORTEE","p_1","p_2","p_3","p_4","urb_1","urb_2","urb_3","urb_4","urb_5","urb_6"
"284",205,70,300,"36","3","2",0,2,0,0,2,0,0,0,0,0
"285",206,300,1150,"21","2","2",0,22,0,0,2,19,1,0,0,0
"286",207,300,1050,"21","2","2",0,16,0,0,2,13,1,0,0,0
"287",208,300,1750,"21","2","2",0,16,0,0,2,13,1,0,0,0
"288",209,300,1450,"21","2","2",0,16,0,0,2,13,1,0,0,0
"289",210,300,1750,"21","2","2",0,16,0,0,2,13,1,0,0,0
"290",214,95,200,"37","3","1",7,1,0,0,1,0,7,0,0,0
"291",216,700,1500,"51","5","2",0,0,0,0,0,0,0,0,0,0
"292",217,20,100,"37","3","1",1,0,0,0,0,0,1,0,0,0
"293",218,100,300,"37","3","1",4,0,0,0,0,0,4,0,0,0
"294",220,300,350,"51","5","2",4,0,0,0,0,0,4,0,0,0
"295",221,470,471,"62","6","1",0,2,1,3,0,0,0,4,2,0
"296",222,450,500,"44","4","4",0,1,0,2,0,0,0,2,1,0
"297",236,40,200,"19","1","2",0,2,0,0,2,0,0,0,0,0
"298",237,150,250,"62","6","1",0,3,0,0,3,0,0,0,0,0
"299",402,20,60,"37","3","1",1,1,0,0,0,0,1,0,0,1
"300",403,40,60,"17","1","2",3,2,0,0,1,0,2,0,0,2
"301",404,40,60,"17","1","2",3,2,0,0,1,0,2,0,0,2
"302",405,40,60,"62","6","1",2,3,0,0,2,0,2,0,0,1
"303",406,60,70,"36","3","2",7,2,0,0,2,0,3,0,0,4
"304",407,70,300,"36","3","2",3,1,0,0,0,0,2,0,0,2
"305",409,680,1280,"51","5","2",0,0,0,0,0,0,0,0,0,0
"306",601,100,250,"37","3","1",16,1,0,0,1,0,16,0,0,0
"307",604,25,60,"62","6","1",3,0,0,0,0,0,3,0,0,0
"308",605,60,250,"37","3","1",8,2,0,0,1,0,7,0,0,2
"309",803,130,250,"35","3","3",1,0,1,0,0,0,2,0,0,0
"310",806,300,1610,"21","2","2",0,14,0,0,0,14,0,0,0,0
"311",901,300,1685,"21","2","2",0,14,0,0,0,14,0,0,0,0
"312",902,300,1685,"21","2","2",1,18,0,0,0,18,1,0,0,0
"313",903,300,1685,"21","2","2",1,20,0,0,0,20,1,0,0,0
"314",904,300,1685,"21","2","2",1,18,0,0,0,18,1,0,0,0
"315",905,300,1685,"21","2","2",1,19,0,0,0,19,1,0,0,0
"316",906,300,1700,"21","2","2",1,16,0,0,0,16,1,0,0,0
"317",907,300,1685,"21","2","2",1,18,0,0,0,18,1,0,0,0
"318",908,300,1050,"21","2","2",1,19,0,0,1,18,1,0,0,0
"319",909,300,1750,"21","2","2",0,17,0,0,1,16,0,0,0,0
"320",910,300,1685,"21","2","2",0,18,0,0,1,17,0,0,0,0
"321",912,300,1785,"21","2","2",0,17,2,0,3,16,0,0,0,0
"322",913,300,1785,"21","2","2",0,12,2,0,3,11,0,0,0,0
"323",914,300,1500,"21","2","2",0,23,2,0,4,20,1,0,0,0
"324",915,300,1785,"21","2","2",0,13,2,0,3,12,0,0,0,0
"325",916,300,1150,"21","2","2",0,25,0,0,2,22,1,0,0,0
"326",917,300,1150,"21","2","2",2,18,0,0,0,17,3,0,0,0
"327",918,300,1150,"21","2","2",2,19,0,0,0,18,3,0,0,0
"328",919,300,1150,"21","2","2",4,23,0,0,0,22,4,0,0,1
"329",920,300,1150,"21","2","2",5,19,0,0,0,19,4,0,0,1
"330",921,300,1150,"21","2","2",4,20,0,0,0,20,3,0,0,1
"331",922,300,1150,"21","2","2",5,23,0,0,0,23,4,0,0,1
"332",923,300,1150,"21","2","2",5,18,0,0,0,18,4,0,0,1
"333",924,300,1685,"21","2","2",5,16,0,0,0,16,4,0,0,1
"334",925,300,1658,"21","2","2",5,16,0,0,0,16,4,0,0,1
"335",926,300,1658,"21","2","2",0,14,0,0,0,14,0,0,0,0
"336",927,300,1685,"21","2","2",1,15,0,0,0,15,1,0,0,0
"337",928,300,1685,"21","2","2",1,14,0,0,0,14,1,0,0,0
"338",929,300,1685,"21","2","2",1,16,0,0,0,16,1,0,0,0
"339",930,300,1725,"21","2","2",1,15,0,0,0,15,1,0,0,0
"340",931,300,1685,"21","2","2",1,16,0,0,0,16,1,0,0,0
"341",932,300,1700,"21","2","2",1,14,0,0,0,14,1,0,0,0
"342",949,1480,2000,"14","1","2",8,16,0,0,2,14,1,7,0,0
"343",950,300,1360,"21","2","2",1,18,0,0,1,17,1,0,0,0
"344",951,300,1050,"21","2","2",0,15,0,0,1,14,0,0,0,0
"345",952,300,1785,"21","2","2",0,13,2,0,3,12,0,0,0,0
"346",954,300,1785,"21","2","2",0,15,0,0,1,14,0,0,0,0
"347",955,300,1785,"21","2","2",0,15,2,0,3,14,0,0,0,0
"348",957,300,1685,"21","2","2",0,13,0,0,0,13,0,0,0,0
"349",960,300,1360,"21","2","2",1,18,0,0,1,17,1,0,0,0
"350",961,300,1685,"21","2","2",0,17,0,0,1,16,0,0,0,0
"351",962,300,1785,"21","2","2",0,17,0,0,1,16,0,0,0,0
"352",963,300,1785,"21","2","2",0,15,0,0,1,14,0,0,0,0
"353",964,300,1785,"21","2","2",0,16,2,0,3,15,0,0,0,0
"354",965,300,1785,"21","2","2",0,17,2,0,3,16,0,0,0,0
"355",966,300,1785,"21","2","2",0,15,2,0,3,14,0,0,0,0
"356",967,300,1785,"21","2","2",0,12,2,0,3,11,0,0,0,0
"357",968,300,1785,"21","2","2",0,12,2,0,3,11,0,0,0,0
"358",969,300,1785,"21","2","2",0,14,2,0,3,13,0,0,0,0
"359",970,300,1750,"21","2","2",0,20,0,0,2,17,1,0,0,0
