"","OH_NUM","date_debut","date_fin","ID","ID_nom","occupation","densite","date_debut_OH","date_fin_OH","n_zone","diff_zone_occ","diff_zone_dens","n_diff_occ","n_diff_dens","NOM","V_USAGE","NOM_USAGE","V_URB","PORTEE"
"140","806",300,549,"EU_03","cite_castrum","urbaine","2",300,1610,4,FALSE,FALSE,0,1,"bastion sud",21,"système défensif urbain","2",2
"141","806",550,899,"EU_09","cite_NE_1","urbaine","2",300,1610,4,FALSE,FALSE,0,1,"bastion sud",21,"système défensif urbain","2",2
"142","806",900,1355,"EU_12","cite_SO_2","urbaine","3",300,1610,4,FALSE,TRUE,0,1,"bastion sud",21,"système défensif urbain","2",2
"143","806",1356,1610,"EU_22","cite_S_1","urbaine","3",300,1610,4,FALSE,FALSE,0,1,"bastion sud",21,"système défensif urbain","2",2
"144","901",300,1621,NA,NA,"non urbaine","0",300,1685,2,FALSE,FALSE,1,1,"tour angle  SE (rempart BE) (Tour de Cupidon au Moyen Age)",21,"système défensif urbain","2",2
"145","901",1622,1685,"EU_28","tours_S_1","urbaine","1",300,1685,2,TRUE,TRUE,1,1,"tour angle  SE (rempart BE) (Tour de Cupidon au Moyen Age)",21,"système défensif urbain","2",2
"146","902",300,549,"EU_03","cite_castrum","urbaine","2",300,1685,5,FALSE,FALSE,0,1,"tronçon mur E, entre tour SE et tour pt cupidon",21,"système défensif urbain","2",2
"147","902",550,899,"EU_09","cite_NE_1","urbaine","2",300,1685,5,FALSE,FALSE,0,1,"tronçon mur E, entre tour SE et tour pt cupidon",21,"système défensif urbain","2",2
"148","902",900,1049,"EU_13","cite_NE_2","urbaine","2",300,1685,5,FALSE,FALSE,0,1,"tronçon mur E, entre tour SE et tour pt cupidon",21,"système défensif urbain","2",2
"149","902",1050,1355,"EU_17","cite_N_1","urbaine","2",300,1685,5,FALSE,FALSE,0,1,"tronçon mur E, entre tour SE et tour pt cupidon",21,"système défensif urbain","2",2
"150","902",1356,1685,"EU_22","cite_S_1","urbaine","3",300,1685,5,FALSE,TRUE,0,1,"tronçon mur E, entre tour SE et tour pt cupidon",21,"système défensif urbain","2",2
"151","903",300,549,"EU_03","cite_castrum","urbaine","2",300,1685,5,FALSE,FALSE,0,1,"tronçon mur E, entre t pt cupidon/t 5r pt cupidon",21,"système défensif urbain","2",2
"152","903",550,899,"EU_09","cite_NE_1","urbaine","2",300,1685,5,FALSE,FALSE,0,1,"tronçon mur E, entre t pt cupidon/t 5r pt cupidon",21,"système défensif urbain","2",2
"153","903",900,1049,"EU_13","cite_NE_2","urbaine","2",300,1685,5,FALSE,FALSE,0,1,"tronçon mur E, entre t pt cupidon/t 5r pt cupidon",21,"système défensif urbain","2",2
"154","903",1050,1355,"EU_17","cite_N_1","urbaine","2",300,1685,5,FALSE,FALSE,0,1,"tronçon mur E, entre t pt cupidon/t 5r pt cupidon",21,"système défensif urbain","2",2
"155","903",1356,1685,"EU_22","cite_S_1","urbaine","3",300,1685,5,FALSE,TRUE,0,1,"tronçon mur E, entre t pt cupidon/t 5r pt cupidon",21,"système défensif urbain","2",2
"156","904",300,549,"EU_03","cite_castrum","urbaine","2",300,1685,5,FALSE,FALSE,0,1,"tour E Cupidon (rempart BE)",21,"système défensif urbain","2",2
"157","904",550,899,"EU_09","cite_NE_1","urbaine","2",300,1685,5,FALSE,FALSE,0,1,"tour E Cupidon (rempart BE)",21,"système défensif urbain","2",2
"158","904",900,1049,"EU_13","cite_NE_2","urbaine","2",300,1685,5,FALSE,FALSE,0,1,"tour E Cupidon (rempart BE)",21,"système défensif urbain","2",2
"159","904",1050,1355,"EU_17","cite_N_1","urbaine","2",300,1685,5,FALSE,FALSE,0,1,"tour E Cupidon (rempart BE)",21,"système défensif urbain","2",2
"160","904",1356,1685,"EU_22","cite_S_1","urbaine","3",300,1685,5,FALSE,TRUE,0,1,"tour E Cupidon (rempart BE)",21,"système défensif urbain","2",2
"161","905",300,1621,NA,NA,"non urbaine","0",300,1685,2,FALSE,FALSE,1,1,"tour E petit Cupidon (rempart BE) (Tour Saint-Jean au Moyen Age)",21,"système défensif urbain","2",2
